TotalLength_m,TotalDrop_m,MeanCurv3D,MeanSlope
1287.81212230227,142.106243,0.0250684943470653,-0.111958011014954
1289.53967927129,153.913248,0.0251302864897495,-0.116228963386866
1288.92798864873,148.918247,0.0250823440972354,-0.11268137480321
1288.2841625977,148.902911,0.0250539877229619,-0.115094121057226
1287.90131519352,137.852147,0.0250726083124936,-0.107599197424329
1287.54409894235,143.809259,0.0250242200987285,-0.111400612820328
1286.98999348173,136.549613,0.0250138143029656,-0.107587607581352
1287.29732114145,137.872272,0.025020502415866,-0.106158926628932
1287.92984756798,146.028692,0.0250166566486568,-0.112462821959372
1287.64537843724,142.26038,0.0249856548098699,-0.110583290351591
1288.04398649722,143.902195,0.0250446710347869,-0.111079264963883
1288.49643905919,150.407858,0.0249997540668171,-0.115993176885636
1287.56878685953,139.739522,0.0250390492258819,-0.109673137883316
1287.47321698451,141.742029,0.0250566629730066,-0.110921732720339
1287.85132751211,142.078502,0.0250462615617516,-0.110209995437862
1287.18785686163,138.675399,0.0249845620539121,-0.108278920826614
1288.3878773145,148.25706,0.0250217057544865,-0.114229096409914
1287.9871230015,144.940975,0.0249936872082433,-0.112246788567691
1286.97039043136,133.2728,0.0250625839161936,-0.105646857784759
1287.2294255106,138.849832,0.0249879177098469,-0.108153808372324
1287.35854866597,140.312176,0.025018602851134,-0.108635907940641
1287.30461748164,132.830261,0.0251902844669575,-0.103973042711874
1288.21086722681,145.735487,0.0250414182291836,-0.111312541054269
1287.34392556787,139.365714,0.0250058671242564,-0.109331040162347
1288.73974313934,151.973281,0.0251031795627846,-0.118075983656777
1287.69002212786,143.219993,0.0250136567606356,-0.111196233965168
1287.718219867,140.901205,0.0250456532219517,-0.108149952938579
1287.31599127164,138.484328,0.025025048960011,-0.108462582593904
1288.04151306718,144.103195,0.0250342285914485,-0.110837770853067
1287.12478972656,139.794987,0.0250115338139586,-0.109860291530948
1288.70679819754,151.220873,0.0250776714453661,-0.117105652380605
1289.28924791924,154.20831,0.0250591644008038,-0.118445341358477
1287.14220001924,137.73906,0.0251263402367592,-0.106361787056865
1288.10402112226,146.215653,0.0250137405888246,-0.112753411481662
1287.59660452951,138.850201,0.0250695678137693,-0.107897588146468
1288.44150448111,146.859559,0.0250116257273953,-0.111360988961281
1287.64994637957,142.285176,0.0250415188772976,-0.111822298527986
1287.99235941089,144.918128,0.0250197792269219,-0.111106922009383
1289.34092952037,151.387615,0.0252063066816594,-0.113898260686831
1289.06813947555,148.042301,0.0252764655345764,-0.114126789035397
1288.67992738892,139.31544,0.0252988884095715,-0.106152901153545
1287.34458056972,139.200831,0.0250025685901673,-0.108802989512061
1288.08450819655,144.509226,0.0250641705844871,-0.112931075144454
1287.63067957749,142.917689,0.025013113006262,-0.110467896682824
1287.52607091526,140.974021,0.0250474972197569,-0.110157901955817
1287.99982133878,145.221324,0.0250040562982779,-0.112625771746993
1287.25989151202,140.006001,0.0250113632465161,-0.109116908176375
1287.70997019858,142.047488,0.024993685515598,-0.110224979707257
1288.20443709701,147.974941,0.0250315443578959,-0.113726465924663
1288.66232085688,151.280118,0.0250862735854179,-0.116927342956119
1287.68821519265,137.755181,0.0250567816641543,-0.105619039322016
1287.2419587518,138.091504,0.0250096819199324,-0.107258200167639
1288.66853842511,151.618712,0.0250265190495666,-0.116632809138497
1287.7317569043,143.991891,0.0250281559201492,-0.112495713550229
1287.04188681598,138.486968,0.0250316049126592,-0.107937693827612
1288.80643515634,143.929333,0.0251981462015423,-0.110526882056091
1287.29497928985,140.048905,0.0249936534643536,-0.109132851741265
1288.06325771192,145.6818,0.0250270458086083,-0.11249238963017
1287.8782042194,145.409338,0.0250042656490458,-0.113065412243701
1288.42983497361,150.205518,0.0251053751800281,-0.116752515555157
1287.52182895651,140.666616,0.0250374787325081,-0.109554652381208
1286.33507691157,129.270068,0.025031643354444,-0.102404548913557
1289.37698794672,155.345218,0.0251455536148098,-0.118969279561373
1287.3865865267,142.692681,0.0250011367587552,-0.111075424618653
1287.97009451442,145.541232,0.0250185646077389,-0.112327370575853
1287.26892056481,139.5507,0.0250781537836882,-0.108214930605624
1287.58105760826,142.905617,0.0249944347670866,-0.110201322775783
1287.27691241815,139.375069,0.0251344851458424,-0.108943887529092
1287.12818944878,139.89182,0.0249855647502152,-0.109056950548409
1288.32479257087,147.33242,0.0250402164764684,-0.11373737352761
1286.72668677899,133.689955,0.0249882291828873,-0.104660254947389
1288.1492246943,144.89896,0.0252155361000724,-0.110045756302204
1288.78286074873,149.942822,0.0251514544238607,-0.115253885905021
1287.48814673296,140.779371,0.0250288954408637,-0.110024766689791
1289.6929999602,152.859858,0.0250605948842667,-0.11405425191132
1287.60202758253,142.143831,0.0250297429527686,-0.110596957831248
1288.58241869738,150.841628,0.0250433280128114,-0.116665920120041
1287.96092689864,146.243023,0.025104622311249,-0.113468915138137
1287.92089772218,145.677527,0.0250435427838232,-0.113318306295471
1287.76282648845,144.205543,0.0250223320418126,-0.111643565569852
1287.45160679963,141.171866,0.0250875717149555,-0.110356628151176
1287.65123672109,143.378726,0.0249892825886318,-0.111044675752964
1288.54914095991,150.299493,0.025114210780249,-0.116183735457339
1293.39951624391,154.55552,0.0253485534796589,-0.10879288948659
1288.59944908912,149.579946,0.0250631009447128,-0.11472124111427
1286.92051865983,136.791108,0.024984198926402,-0.106083151892077
1287.6031019259,143.275009,0.0250886817098406,-0.111387878188031
1287.35497404123,139.751018,0.0250605170538467,-0.110985374853196
1287.84821138851,144.825112,0.0250196322049196,-0.111947754778935
1289.45903111369,158.083243,0.0252027948194873,-0.122586508035044
1287.64913834904,142.289736,0.0250422014505454,-0.110034663529659
1287.33433628869,140.186325,0.0250620525471079,-0.110223478288663
1288.57937835645,148.661443,0.0250891279432011,-0.113593086062256
1288.11734588017,146.50396,0.0250493431220634,-0.11346356508309
1287.24064064091,139.390788,0.0250247775269426,-0.108945072921962
1288.63223870412,150.449214,0.0251342092306717,-0.116536663276108
1288.27553423373,149.104419,0.0250167170805839,-0.115100609517602
1288.48802826018,148.501515,0.0250136004658576,-0.112770174874851
1288.30382427565,149.702552,0.0250219137141393,-0.115267873639332
1287.98551931759,145.772015,0.0250255891370147,-0.11316233853164
